doc_id,url,cache,text version,nature,published,entity,entity_type
679/3452b_crca-1912.pdf,https://www.rosnysousbois.fr/wp-content/uploads/2023/02/crca-1912.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/679/3452b_crca-1912.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/679/3452b_crca-1912.pdf.txt,pv.cr,19/12/2022,Rosny-sous-Bois,Commune
1408/2c40d_001_-_ag_-_02_-_proces_verbal_de_la_seance_du_15_decembre_2022.pdf,https://www.ville-sevran.fr/sites/default/files/001_-_ag_-_02_-_proces_verbal_de_la_seance_du_15_decembre_2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1408/2c40d_001_-_ag_-_02_-_proces_verbal_de_la_seance_du_15_decembre_2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1408/2c40d_001_-_ag_-_02_-_proces_verbal_de_la_seance_du_15_decembre_2022.pdf.txt,pv.full,15/12/2022,Sevran,Commune
1364/0c611_conseil_municipal_2022-12-14_odj.pdf,https://www.villejuif.fr/fileadmin/www.ville-villejuif.fr/MEDIA/Rubriques/Ma_ville/Democratie/Compte-rendus-conseil/Compte-rendus-conseil_2022/conseil_municipal_2022-12-14_odj.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1364/0c611_conseil_municipal_2022-12-14_odj.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1364/0c611_conseil_municipal_2022-12-14_odj.pdf.txt,pv.cr,14/12/2022,Villejuif,Commune
1364/c68e7_conseil_municipal_2022-12-14_liste.pdf,https://www.villejuif.fr/fileadmin/www.ville-villejuif.fr/MEDIA/Rubriques/Ma_ville/Democratie/Compte-rendus-conseil/Compte-rendus-conseil_2022/conseil_municipal_2022-12-14_liste.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1364/c68e7_conseil_municipal_2022-12-14_liste.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1364/c68e7_conseil_municipal_2022-12-14_liste.pdf.txt,pv.cr,14/12/2022,Villejuif,Commune
3232/4a090_pv_a_afficher.pdf,http://recherche.lozere.fr/raa/pv_a_afficher.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/3232/4a090_pv_a_afficher.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/3232/4a090_pv_a_afficher.pdf.txt,acte.delib,16/12/2022,Préfecture - Lozère,Préfecture
6923/648f3b9f4b009cf2bd08ce8c545a21c7ea40d244_Liste-des-delibe,https://arthun.fr/wp-content/uploads/sites/436/2018/08/Liste-des-deliberations-du-9-12-22.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/6923/648f3b9f4b009cf2bd08ce8c545a21c7ea40d244_Liste-des-delibe,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/6923/648f3b9f4b009cf2bd08ce8c545a21c7ea40d244_Liste-des-delibe.txt,pv.cr,09/12/2022,Arthun,Commune
6923/9e59b3cfd42fedaae9cac10a512af6dbc213c885_PV-du-09-12-22.p,https://arthun.fr/wp-content/uploads/sites/436/2018/08/PV-du-09-12-22.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/6923/9e59b3cfd42fedaae9cac10a512af6dbc213c885_PV-du-09-12-22.p,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/6923/9e59b3cfd42fedaae9cac10a512af6dbc213c885_PV-du-09-12-22.p.txt,pv.cr,09/12/2022,Arthun,Commune
3031/3bb1e_Reglement_assainissement-2022-12-08_compressed.pdf,https://www.cc-guebwiller.fr/wp-content/uploads/2022/12/Reglement_assainissement-2022-12-08_compressed.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/3031/3bb1e_Reglement_assainissement-2022-12-08_compressed.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/3031/3bb1e_Reglement_assainissement-2022-12-08_compressed.pdf.txt,dlao.autres,08/12/2022,CC de la Région de Guebwiller,Intercommunalité
1086/eca87_2022_7_4.pdf,https://www.ville-mazeres.fr/IMG/pdf/2022_7_4.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1086/eca87_2022_7_4.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1086/eca87_2022_7_4.pdf.txt,acte.delib,22/12/2022,Mazères,Commune
1542/5587f_pv_cm_du_12-12-2022_signe.pdf,https://www.villedegarges.fr/sites/default/files/pv_cm_du_12-12-2022_signe.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1542/5587f_pv_cm_du_12-12-2022_signe.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1542/5587f_pv_cm_du_12-12-2022_signe.pdf.txt,pv.cr,12/12/2022,Garges-lès-Gonesse,Commune
